CELL	BSC	LAI	CI	BCCH	BSIC	TCH	HOP	HSN
JMKXCC1	JMSM1B1	9859	20051	40	67	[0] 5 40 [2] 61 73	[0] OFF[2] OFF	[0]38[2]28
JMKXCC2	JMSM1B1	9859	20052	36	30	[0] 23 36 [2] 10 68	[0] OFF[2] OFF	[0]2[2]60
JMKXCC3	JMSM1B1	9859	20053	42	20	[0] 16 27 42 [2] 80	[0] ON[2] OFF	[0]31[2]29
JMKXCC8	JMSM1B1	9859	20054	38	11	[0] 38 86 89 [2] 94	[0] ON[2] OFF	[0]61[2]63
JMKXCG1	JMSM1B1	9859	21721	39	35	[0] 16 25 39 84 [2] 7 93	[0] ON[2] OFF	[0]25[2]47
JMKXCG2	JMSM1B1	9859	21722	31	37	[0] 9 27 31 70 73 [2] 12 81 91	[0] ON[2] OFF	[0]26[2]38
JMKXCG3	JMSM1B1	9859	21723	34	23	[0] 3 34 62 65 76 [2] 29	[0] ON[2] OFF	[0]27[2]59
JMKXCY1	JMSM1B1	9859	23031	52	36	[0] 3 52 [2] 10 72	[0] OFF[2] OFF	[0]28[2]34
JMKXCY2	JMSM1B1	9859	23032	54	57	[0] 28 54 63 76 [2] 24 92	[0] ON[2] OFF	[0]29[2]25
JMKXCY3	JMSM1B1	9859	23033	41	40	[0] 12 41 68 [2] 20	[0] ON[2] OFF	[0]30[2]30
JMKXCZ1	JMSM1B1	9859	23041	49	54	[0] 11 49 66 70 [2] 23 27	[0] ON[2] OFF	[0]31[2]62
JMKXCZ2	JMSM1B1	9859	23042	41	73	[0] 3 41 64 77 [2] 21 60	[0] ON[2] OFF	[0]32[2]35
JMKXCZ3	JMSM1B1	9859	23043	32	15	[0] 6 17 32 81 [1] 1022 [2] 13 85 90	[0] ON[1] OFF[2] OFF	[0]33[1]4[2]15
JMKXDL1	JMSM1B1	9859	20291	47	14	[0] 28 47 67 [2] 5	[0] ON[2] OFF	[0]34[2]4
JMKXDL2	JMSM1B1	9859	20292	32	53	[0] 16 24 32 85 [2] 20 72 91	[0] ON[2] OFF	[0]35[2]26
JMKXDL3	JMSM1B1	9859	20293	45	31	[0] 45 57 63 [2] 1 9	[0] ON[2] OFF	[0]36[2]44
JMKXGL1	JMSM1B1	9859	30451	48	70	[0] 17 25 48 70 [2] 63 74	[0] ON[2] OFF	[0]3[2]18
JMKXGL2	JMSM1B1	9859	30452	37	26	[0] 9 15 37 92 [2] 3 78	[0] ON[2] OFF	[0]7[2]25
JMKXGL3	JMSM1B1	9859	30453	34	43	[0] 34 88 [1] 0 [2] 67	[0] OFF[1] OFF[2] OFF	[0]12[1]56[2]33
JMKXGL8	JMSM1B1	9859	30454	39	53	[0] 13 21 26 39 90 [2] 29	[0] ON[2] OFF	[0]46[2]31
JMKXLY1	JMSM1B1	9859	20301	40	76	[0] 13 40 65 68 86 90 [2] 17 27	[0] ON[2] OFF	[0]31[2]37
JMKXLY2	JMSM1B1	9859	20302	50	54	[0] 5 10 21 50 66 82 92 [1] 1021 [2] 58 70	[0] ON[1] OFF[2] OFF	[0]38[1]48[2]36
JMKXLY3	JMSM1B1	9859	20303	38	45	[0] 38 84 [2] 7 79	[0] OFF[2] OFF	[0]46[2]58
JMKXSY1	JMSM1B1	9859	22141	46	37	[0] 46 64 88 [2] 77	[0] ON[2] OFF	[0]22[2]10
JMKXSY2	JMSM1B1	9859	22142	36	75	[0] 20 28 36 91 [2] 24 66	[0] ON[2] OFF	[0]57[2]59
