CELL	BSC	LAI	CI	BCCH	BSIC	
JDXHLI3	JMM11B3	9292	30433	516	63	
JDXJDA1	JMM11B3	9292	30871	527	63	
JDXJDA2	JMM11B3	9292	30872	517	53	
JDXJDA3	JMM11B3	9292	30873	519	55	
JDXJMJ1	JMM11B3	9292	30211	518	71	
JDXJMJ2	JMM11B3	9292	30212	516	74	
JDXJMJ3	JMM11B3	9292	30213	531	44	
JDXJTN1	JMM11B3	9292	30741	536	33	
JDXJTN2	JMM11B3	9292	30742	512	63	
JDXJTN3	JMM11B3	9292	30743	523	70	
JDXKSS1	JMM11B3	9292	30421	524	70	
JDXKSS2	JMM11B3	9292	30422	514	12	
JDXKSS3	JMM11B3	9292	30423	528	65	
JDXLSL1	JMM11B3	9292	30321	513	35	
JDXLSL2	JMM11B3	9292	30322	533	47	
JDXLSL3	JMM11B3	9292	30323	529	25	
JDXLXH1	JMM11B3	9292	30201	518	42	
JDXLXH2	JMM11B3	9292	30202	534	74	
JDXLXH3	JMM11B3	9292	30203	512	54	
JDXLYD1	JMM11B3	9292	30191	532	40	
JDXLYD2	JMM11B3	9292	30192	525	57	
JDXLYD3	JMM11B3	9292	30193	529	61	
JDXNYL1	JMM11B3	9292	32231	534	65	
JDXNYL2	JMM11B3	9292	32232	527	40	
JDXNYL3	JMM11B3	9292	32233	513	61	
JDXQJG1	JMM11B3	9292	36101	530	24	
JDXQJG2	JMM11B3	9292	36102	523	17	
JDXQJG3	JMM11B3	9292	36103	535	30	
JDXSZC1	JMM11B3	9292	30021	517	51	
JDXSZC2	JMM11B3	9292	30022	512	76	
JDXSZC3	JMM11B3	9292	30023	522	21	
JDXWMD1	JMM11B3	9292	30861	513	75	
JDXWMD2	JMM11B3	9292	30862	520	43	
JDXWMD3	JMM11B3	9292	30863	524	32	
JDXXFD1	JMM11B3	9292	33101	514	50	
JDXXFD2	JMM11B3	9292	33102	529	17	
JDXXFD3	JMM11B3	9292	33103	532	31	
JDXYHU1	JMM11B3	9292	30351	536	55	
JDXYHU2	JMM11B3	9292	30352	516	61	
JDXYTS1	JMM11B3	9292	33201	519	31	
JDXYTS2	JMM11B3	9292	33202	512	15	
JDXYTS3	JMM11B3	9292	33203	515	25	
JKSMK39	JMM11B3	9292	10000	9	30	
JMM11C1	JMM11B3	9292	11111	3	66	
JMM11C2	JMM11B3	9292	11111	12	61	
