MSC	BSC	CELL	bts	lac	ci	BCCH	BSIC	Cell_name	bts_name	longitude	latitude	dir	height	tilt	ground_height	ant_bw	ant_size	band	tch	载波数
GZS06V	JMSM1B2	JMTBTN3	JMTBTN	9860	20083	51	50	台山板潭3	台山板潭3	112.867028	22.209167	260	0	8	0				29	4
GZS06V	JMSM1B2	JMTBXG1	JMTBXG	9860	20091	35	17	台山宝兴1	台山宝兴1	112.764167	22.356389	0	0	7	0				21	3
GZS06V	JMSM1B2	JMTBXG2	JMTBXG	9860	20092	50	67	台山宝兴2	台山宝兴2	112.764167	22.356389	100	0	3	0				21	3
GZS06V	JMSM1B2	JMTBXG3	JMTBXG	9860	20093	45	75	台山宝兴3	台山宝兴3	112.764167	22.356389	200	0	3	0				14	2
GZS06V	JMSM1B2	JMTCBN1	JMTCBN	9860	20101	44	65	台山陈边1	台山陈边1	112.802694	22.358444	60	0	5	0				18	3
GZS06V	JMSM1B2	JMTCBN2	JMTCBN	9860	20102	34	11	台山陈边2	台山陈边2	112.802694	22.358444	220	0	1	0				21	3
GZS06V	JMSM1B2	JMTCBN3	JMTCBN	9860	20103	42	14	台山陈边3	台山陈边3	112.802694	22.358444	340	0	2	0				28	4
GZS06V	JMSM1B2	JMTCBN8	JMTCBN	9860	20108	52	72	台山陈边8	台山陈边8	112.802694	22.358444	280	0	5	0				36	5
GZS06V	JMSM1B2	JMTCHI1	JMTCHI	9860	20111	47	63	台山缠溪1	台山缠溪1	112.81981	22.21979	30	0	9	0				13	2
GZS06V	JMSM1B2	JMTCHI2	JMTCHI	9860	20112	36	43	台山缠溪2	台山缠溪2	112.81981	22.21979	180	0	3	0				13	2
GZS06V	JMSM1B2	JMTCHI3	JMTCHI	9860	20113	55	50	台山缠溪3	台山缠溪3	112.81981	22.21979	320	0	3	0				13	2
GZS06V	JMSM1B2	JMTCLT1	JMTCLT	9860	20001	56	36	台山冲蒌伞堂1	台山冲蒌伞堂1	112.828056	22.154472	30	0	3	0				28	4
GZS06V	JMSM1B2	JMTCLT2	JMTCLT	9860	20002	42	23	台山冲蒌伞堂2	台山冲蒌伞堂2	112.828056	22.154472	180	0	4	0				14	2
GZS06V	JMSM1B2	JMTCLT3	JMTCLT	9860	20003	45	31	台山冲蒌伞堂3	台山冲蒌伞堂3	112.828056	22.154472	270	0	4	0				21	3
GZS06V	JMSM1B2	JMTCLU1	JMTCLU	9860	20011	40	21	台山冲蒌1	台山冲蒌1	112.803333	22.130556	40	0	5	0				34	5
GZS06V	JMSM1B2	JMTCLU2	JMTCLU	9860	20012	38	55	台山冲蒌2	台山冲蒌2	112.803333	22.130556	120	0	6	0				53	8
GZS06V	JMSM1B2	JMTCLU3	JMTCLU	9860	20013	55	23	台山冲蒌3	台山冲蒌3	112.803333	22.130556	220	0	3	0				43	6
GZS06V	JMSM1B2	JMTCYG1	JMTCYG	9860	20021	33	72	台山朝阳1	台山朝阳1	112.830833	22.113889	90	0	6	0				37	5
GZS06V	JMSM1B2	JMTCYG2	JMTCYG	9860	20022	36	54	台山朝阳2	台山朝阳2	112.830833	22.113889	150	0	6	0				28	4
GZS06V	JMSM1B2	JMTCYG3	JMTCYG	9860	20023	50	77	台山朝阳3	台山朝阳3	112.830833	22.113889	350	0	4	0				21	3
GZS06V	JMSM1B2	JMTCYG8	JMTCYG	9860	20028	54	16	台山朝阳8	台山朝阳8	112.830833	22.113889	250	0	6	0				14	2
GZS06V	JMSM1B2	JMTDGG6	JMTDGG	9860	20126	48	56	台山独岗6	台山独岗6	112.74972	22.37032	80	0	2007-7-7	0				44	6
GZS06V	JMSM1B2	JMTDHG1	JMTDHG	9860	20131	44	57	台山大亨1	台山大亨1	112.824722	22.270278	70	0	6	0				30	4
GZS06V	JMSM1B2	JMTDHG2	JMTDHG	9860	20132	31	54	台山大亨2	台山大亨2	112.824722	22.270278	210	0	6	0				29	4
GZS06V	JMSM1B2	JMTDHG3	JMTDHG	9860	20133	46	64	台山大亨3	台山大亨3	112.824722	22.270278	340	0	6	0				14	2
